formula, alpha, beta, fmi
p -> ((q & (((r -> ~s) -> ((~r -> q) v p)) v t)) v ~r), 3, 7, 0.5555556
(~((p v p) -> (~q & (r & (r & (~s -> t))))) -> t) v r, 8, 5, 0.5555556
~p v (p -> (q -> (~~(((r v s) v ~q) -> q) v ~t))), 3, 6, 0.625
~(p & ((q & r) v (p -> r))) v ~((~p & (s -> t)) & s), 6, 6, 0.5555556
(p -> ((((~(p & ((q v r) & s)) -> r) v r) & t) v t)) & s, 5, 6, 0.5
((p v ~((q v p) -> r)) & ((q v r) & (s -> s))) & (t -> t), 5, 24, 0.5
(p & ((q & r) v (s -> s))) & ((q -> (~(r v p) -> r)) -> t), 7, 6, 0.5
p v ~~(((q v r) -> ((s v r) -> (s -> ~(s v t)))) & q), 9, 5, 0.5555556
((p -> (q & r)) -> q) v (((p & s) & (t -> q)) -> (~r -> r)), 4, 8, 0.5
~p v ((((q & r) & ((s -> p) & (t & q))) -> p) -> (p -> s)), 6, 5, 0.5
(p & ~~(p v ~((p -> (q & r)) -> p))) v (s -> (s v t)), 4, 6, 0.5555556
p & (~p v (q -> ((q & ((r & s) & t)) v ((s -> s) & r)))), 9, 5, 0.5
(((p v (((q & (r -> s)) & t) -> p)) v (s -> t)) v ~r) & p, 3, 8, 0.5
p -> ((((q & (p & (r & (~r -> s)))) v (p v q)) -> p) & t), 5, 6, 0.5
p -> ~(~q v (q v ((~((r v q) & s) v (s & t)) -> q))), 7, 4, 0.5555556
~~(p -> q) v ~(~(q v (r & ((r & s) -> p))) & ~t), 2, 7, 0.625
p & (((~~~q & q) & r) -> (s -> ((t & r) -> (t & q)))), 3, 7, 0.5555556
~(((p -> ~(((p & q) & p) & r)) v (r & s)) -> ~(t & p)), 4, 6, 0.5555556
(((p -> ~p) -> q) & ~((q & ~((r & q) -> q)) & s)) -> t, 10, 4, 0.5555556
p & (((((q & (r & ~r)) -> p) v r) & s) -> (q & (t -> r))), 11, 4, 0.5
(p -> q) v ~((r v (s & (~t v r))) -> ~(p v (q v r))), 3, 11, 0.5555556
~((((p v q) -> r) v (r v ((s -> ~p) & ~(t v s)))) & r), 5, 7, 0.5555556
((((p & (q -> r)) & p) & (s & (t -> p))) & p) -> (~p -> t), 4, 8, 0.5
(p & p) -> ((q -> r) & (s -> (((~q & r) v s) -> (t v t)))), 3, 12, 0.5
~(((p -> q) & r) v ((~((s & ~r) v s) v s) -> r)) -> t, 6, 6, 0.5555556
p v (q & (((~p & r) & (((s v ~t) & ~r) v r)) -> q)), 4, 6, 0.5555556
p -> ((~((q -> (~r -> q)) & s) v r) -> (r -> ~(t & r))), 3, 7, 0.5555556
((~(p v (q v r)) & p) & (s v ((q -> t) & p))) & (s & q), 8, 3, 0.5
~(p -> (q v r)) v ((~p & ~~s) & (~t -> (r v q))), 9, 4, 0.625
(((p -> ((q -> (r v p)) -> (s & s))) & p) -> (~t & q)) v s, 6, 9, 0.5
p -> (((((q & r) -> q) -> ((q v ~s) -> r)) v t) & (s -> r)), 7, 9, 0.5
~((p v q) v ((r & (q & ~(q -> ~~~s))) & (t v s))), 4, 5, 0.625
(p & (((q v r) -> ~s) -> p)) & ((q & (s v (t & t))) & q), 7, 6, 0.5
p -> (~q & (~~(r -> s) v ~~((r & (r v t)) v s))), 3, 6, 0.625
((p & q) v ((r -> ~r) & (p & (s -> t)))) -> ((p v q) -> t), 10, 8, 0.5
(p v ~(q & (((r & (q & q)) & (s -> r)) v t))) & (s -> p), 4, 12, 0.5
((p v (q & r)) & (((s v s) -> ~(s -> s)) & t)) & (p v r), 8, 8, 0.5
p & (q & ((q v (r v (((s v p) v r) & (p v t)))) v ~p)), 4, 9, 0.5
~(((((p v (p v q)) & r) & s) & (~t v p)) v r) -> ~r, 4, 8, 0.5555556
(~p v ((((~~q -> r) & q) -> r) -> ((s -> r) & t))) -> t, 5, 7, 0.5555556
p -> (p -> (((p v q) -> (r v (s & r))) -> (s v ~(t v p)))), 6, 8, 0.5
((~p -> (q v ((r v s) -> (p -> p)))) & r) v ((r -> t) -> q), 6, 7, 0.5
p -> (((q -> p) & ((((q -> r) & (s & r)) v t) & ~r)) -> t), 6, 7, 0.5
(((p -> ((q v r) & ~r)) -> s) v q) -> ((t v (t -> s)) -> p), 12, 5, 0.5
~(p v ((q -> ~((p -> r) v (((s v r) & t) v ~p))) & s)), 4, 6, 0.5555556
((p -> ((q v (p & r)) & (~q v p))) v (q -> p)) & (s -> t), 4, 14, 0.5
(p -> q) -> (((~(p -> (~r & s)) & (s -> ~r)) & q) & t), 10, 5, 0.5555556
~(~~(p v q) v (((r & (r -> s)) v ~~r) & (t -> p))), 8, 3, 0.625
p v ((q -> ~(~(~r v ~s) -> (q -> ~p))) -> (s v t)), 2, 7, 0.625
((p -> ((((q & r) -> (r v s)) v t) -> s)) & p) & (r -> ~q), 7, 6, 0.5
p & ~(q v ~(((r v q) & ((s -> q) & ~(p -> r))) & t)), 7, 4, 0.5555556
~(~((p -> ~p) -> ((((q v (q v r)) -> r) -> p) & s)) v t), 7, 5, 0.5555556
(p v (q v (~((p -> (~~r -> p)) & s) -> (r v r)))) & t, 3, 7, 0.5555556
(((((p -> ((q -> r) v s)) v ~s) -> q) & t) v r) & (s & t), 8, 3, 0.5
p -> (q -> ~(~(((p -> r) & (s & q)) & ~(t & t)) -> p)), 5, 6, 0.5555556
p -> ((q & (r -> (~q & (s & (t -> (t -> s)))))) -> (s & t)), 8, 6, 0.5
(p v ((q v (((p & ~r) & (s & (s v t))) & p)) v p)) & t, 6, 5, 0.5
(p v (q v (p -> ~(q & r)))) & (s v (~(s & ~t) v q)), 2, 20, 0.5555556
~(~(p & (q -> ((~~r & ~~s) v t))) -> (~r -> r)), 5, 3, 0.71428573
((p v (~p v q)) -> (~r -> ((s -> s) v t))) v ~(t v q), 6, 6, 0.5555556
p -> ((q -> (r -> ~(r v s))) -> (((r & p) -> (t -> q)) v p)), 3, 8, 0.5
~((p -> (q -> (q -> (((r & p) & s) & (s v t))))) v q) & q, 7, 4, 0.5
p -> ~((((q -> p) -> ((p -> r) & q)) v ((q & s) & t)) v t), 5, 13, 0.5
((p -> q) & ~~((r v q) & r)) & ((~(s v r) & t) & p), 7, 4, 0.5555556
~(p -> (~q & ((~(r -> s) & s) v r))) v ((s -> q) v t), 3, 7, 0.5555556
p v (((((q v p) -> (r -> s)) & s) & (q -> (t -> r))) -> ~r), 9, 6, 0.5
~p & (p v ((q & (~r -> ((s & ~(q v s)) -> s))) v t)), 3, 7, 0.5555556
((p -> (q v (r v s))) v ~((q & ((t -> r) & t)) v t)) v t, 3, 8, 0.5
((((p v q) -> (~r & (s v q))) & s) -> (~~t -> q)) -> q, 7, 4, 0.5555556
(~~(((~p & q) & r) v q) -> s) & ((s v (p v r)) & t), 4, 12, 0.5555556
~(~p & (q v ((r v ((s v (~p & t)) & t)) v (r -> t)))), 6, 4, 0.5555556
(((p & (~(p v (q & r)) & s)) -> t) -> q) v ((r -> p) & p), 10, 5, 0.5
~~p & ((p & (((~(q v (q & r)) v s) -> t) -> p)) -> s), 5, 5, 0.5555556
(p -> (~(q v ~~p) & ~(((r -> q) v ~s) -> p))) & t, 5, 4, 0.625
(((p & q) & ((r & (~(r & s) v s)) -> s)) -> (t & r)) -> r, 6, 7, 0.5
p -> (q v (r v ~((q & (q & p)) v (s -> ((s -> t) v p))))), 5, 6, 0.5
~((((p & q) -> (q -> r)) -> (s -> t)) v q) & ((s -> s) v r), 5, 12, 0.5
~(p & ((q & r) v s)) & ((s & (p -> q)) v (s & (p & t))), 8, 9, 0.5
(p -> (q v (((r v ~s) v t) -> (s & ((p v q) v s))))) & p, 7, 6, 0.5
p v (~q & (((p & (p & r)) v ((q v s) v (p v r))) & t)), 5, 6, 0.5
~(p -> ((q & (q & r)) & r)) & (s v ((q -> t) -> (r & s))), 6, 12, 0.5
~~(p & (p v (q -> ~(r v ~~(s -> (p v (q & t))))))), 5, 4, 0.625
~~(~(p -> q) & (((r v s) & q) -> r)) & (p v (t -> q)), 5, 9, 0.5555556
(p -> (q v q)) & ((((~p -> p) v ((r & s) & r)) -> t) -> p), 5, 12, 0.5
p -> (((q v (r v s)) v ~p) -> (t -> ~((p v ~t) & q))), 8, 5, 0.5555556
p -> (((q & r) v s) v ((t & (q -> ((q & t) -> ~r))) v q)), 4, 8, 0.5
((p v q) -> (((r v (s v t)) v t) -> q)) v ((~p & t) v r), 16, 5, 0.5
~(((~((p -> q) v r) & q) v ((r v ~s) v t)) -> q) & q, 6, 4, 0.5555556
p v (q & (((r & s) -> (((q -> (t -> ~s)) v q) v r)) & s)), 3, 8, 0.5
((p v (((p -> q) & (r & (r & (q v ~s)))) v t)) & s) & r, 6, 6, 0.5
((~p v (q -> ~r)) -> (s v ((t -> p) -> (q -> s)))) v ~s, 6, 6, 0.5555556
(p & q) v (r & ((s v ((~(~~t & p) v q) -> t)) v p)), 8, 5, 0.5555556
~(p v (~q & q)) & ~(q v ((((r -> s) v r) -> t) & r)), 5, 8, 0.5555556
(p & q) v ((p v r) v (((p & q) & ~s) v ((t & r) -> t))), 6, 7, 0.5
(p v (q v (r -> (((s -> t) v (q -> s)) & t)))) -> ~(s v t), 14, 3, 0.5
~((((p v q) v (~r -> p)) -> (s v q)) & (~s -> q)) -> t, 5, 7, 0.5555556
((p & ~q) v r) -> ~((s -> (s -> r)) & (s v (~r v t))), 18, 4, 0.5555556
(p & q) & ~((q v ~(r v ((s v r) -> ~r))) v (t -> r)), 7, 3, 0.5555556
~p & (q v ((p & (p -> ((r v s) -> (t v p)))) -> (s -> s))), 5, 6, 0.5
p v (p -> ((((q & ((~r v s) v r)) -> p) & t) -> (p -> r))), 3, 8, 0.5
p & (q v ((r v ~(((q & s) -> (t v (q & t))) & r)) v s)), 5, 6, 0.5
(p v q) & ((~((p & ((q -> r) -> s)) -> ~p) -> t) v ~q), 3, 12, 0.5555556
p & (p -> ((~q & (((r v s) v t) -> r)) -> (t -> (s -> s)))), 3, 8, 0.5
~(((p & ~p) -> (((q & ~(r -> s)) v r) v t)) -> q) -> q, 5, 5, 0.5555556
~(~p -> (((q & (p & ((r & s) v ~t))) -> p) -> s)) & r, 5, 5, 0.5555556
~((p & q) -> (r -> (((q & ((p -> p) -> s)) v p) v (t v q)))), 8, 3, 0.5
(p & (p & ((q -> r) & q))) v (q -> ~(s -> ~(~t & t))), 12, 4, 0.5555556
(p & (((~((q -> r) -> r) v s) & ((t & q) & q)) v t)) -> p, 4, 7, 0.5
~p & (q & (~((~(q -> (r & s)) -> (p & r)) v q) v t)), 6, 5, 0.5555556
((p & (q v r)) -> (r & (((p -> s) -> (t & t)) & ~s))) v p, 12, 5, 0.5
((~p v q) v (~r v r)) v ((s -> t) -> (~(r v r) & p)), 6, 6, 0.5555556
((p -> q) v ((r v (r v ((p v r) v (s -> t)))) & ~r)) & q, 3, 8, 0.5
(((p & ((q & r) v (p & p))) & s) -> ((p -> t) -> r)) & ~q, 5, 8, 0.5
((~(p & (q & (p & r))) & ((s & r) -> q)) v p) & (t & t), 4, 13, 0.5
~((~p v (q & ((r -> s) -> (t v ~p)))) -> (p & (s v t))), 5, 8, 0.5555556
(p -> q) -> ((p v ~(q & (r -> q))) v ((s v (s & q)) -> t)), 8, 7, 0.5
(p -> (q -> r)) v (((r -> s) & ((r -> t) v ~(t v t))) -> r), 6, 7, 0.5
((~(p -> ~(~(q & (r & q)) v s)) & s) & s) & (t & s), 6, 4, 0.5555556
((p v q) v ~((r -> (((r & q) v (q v s)) -> s)) -> q)) & t, 5, 6, 0.5
((p -> q) & ~p) -> (~(r & ~((s & (r -> q)) -> t)) & s), 6, 6, 0.5555556
~(p v q) -> ~((r -> q) v (~s v (((t -> t) -> r) -> t))), 6, 4, 0.5555556
p & (~((q & r) & (r & q)) & ((p v (s -> (q & p))) v t)), 4, 16, 0.5
((p -> (q -> r)) v (s v ((t v (p -> ~s)) v (p & t)))) & s, 3, 8, 0.5
((p -> ((q & q) v ((r -> (s v s)) -> (s -> ~s)))) & t) & q, 8, 5, 0.5
(((((p & q) -> r) -> p) v s) -> p) v ((q -> (~t -> r)) & q), 6, 7, 0.5
~(p & (~((q v (r v r)) & p) -> p)) -> ~(p -> (s v t)), 9, 5, 0.5555556
((p & ~q) -> (r -> (p -> (s -> p)))) & (p -> (t v (p -> r))), 2, 24, 0.5
(p v (p -> ~(q & r))) -> ((~r -> ((~p -> p) & s)) v t), 8, 5, 0.5555556
(p & q) & ~((((r & s) & (t & (r -> (p -> p)))) -> q) -> t), 6, 5, 0.5
((p v (q v (~p v ~~((r -> s) & (r & t))))) v p) v t, 3, 7, 0.5555556
~(p & ((((q v (r v r)) -> s) v (r -> (t -> t))) -> (s -> t))), 5, 6, 0.5
((p -> q) & ((r -> (s v q)) & (~t v r))) & ((r -> p) v q), 4, 36, 0.5
p v (~p & (q -> ~(r & ((~(p -> s) & q) -> (t -> p))))), 6, 4, 0.5555556
~(p v (p -> (q & ~~(r v ((~~(s v p) & t) -> t))))), 6, 3, 0.625
p -> ((q -> ((r v ~s) v t)) v ~((t -> q) & (q -> ~t))), 4, 7, 0.5555556
(((p & q) & ~r) v (p v ~s)) v (p v (~t v (s & r))), 6, 6, 0.5555556
(p v (q -> r)) -> (s -> ((p & (t & ((~s v t) v s))) v q)), 9, 6, 0.5
(p v ((q & ~(r v (s -> (s v s)))) & ~q)) -> (t -> ~s), 2, 8, 0.5555556
~((p -> (q v ((r v ~s) v ((p v ~t) v s)))) v (q & q)), 8, 2, 0.5555556
(~~~p -> q) v ((~r -> ((~~s -> p) -> p)) -> ~t), 3, 5, 0.71428573
(((((~p v (~q v r)) -> q) & s) -> (r & ~q)) v t) v q, 4, 7, 0.5555556
((p & ((q -> (r & ~p)) v p)) v (q -> (s v s))) v (t & t), 6, 7, 0.5
